Customer ID,Month,offers
uqdtniwvxqzeu1,7,"['E', 'J', 'F']"
uqdtniwvxqzeu1,9,"['F', 'J', 'E']"
uqdtniwvxqzeu1,10,"['J', 'E', 'F']"
uqdtniwvxqzeu1,11,"['F', 'J', 'E']"
uqdtniwvxqzeu1,12,"['C', 'F', 'I']"
uqdtniwvxqzeu1,13,"['J', 'F', 'E']"
uqdtniwvxqzeu1,14,"['G', 'H', 'E']"
ojzonexnucycb3,12,"['D', 'F', 'J']"
ojzonexnucycb3,13,"['E', 'F', 'D']"
ojzonexnucycb3,14,"['F', 'E', 'J']"
nzxifoxtjpktc4,10,"['J', 'C', 'E']"
nzxifoxtjpktc4,11,"['E', 'F', 'J']"
nzxifoxtjpktc4,12,"['E', 'F', 'J']"
nzxifoxtjpktc4,13,"['G', 'E', 'A']"
zcpjiqpcepwze6,10,"['E', 'A', 'F']"
zcpjiqpcepwze6,11,"['E', 'F', 'G']"
zcpjiqpcepwze6,12,"['I', 'G', 'F']"
zcpjiqpcepwze6,14,"['D', 'E', 'C']"
kbxsterraygzq8,9,"['E', 'F', 'J']"
kbxsterraygzq8,11,"['E', 'F', 'J']"
kbxsterraygzq8,12,"['J', 'C', 'E']"
kbxsterraygzq8,13,"['G', 'E', 'H']"
kbxsterraygzq8,14,"['C', 'F', 'J']"
bitdqurhfohcp9,9,"['D', 'C', 'A']"
bitdqurhfohcp9,10,"['F', 'D', 'E']"
bitdqurhfohcp9,11,"['E', 'F', 'J']"
bitdqurhfohcp9,12,"['F', 'E', 'J']"
bitdqurhfohcp9,13,"['F', 'E', 'J']"
nynydvvsfybbx10,7,"['E', 'J', 'F']"
nynydvvsfybbx10,8,"['E', 'F', 'G']"
nynydvvsfybbx10,10,"['E', 'F', 'D']"
nynydvvsfybbx10,11,"['F', 'E', 'D']"
gxvosfxjewyla11,10,"['C', 'I', 'F']"
gxvosfxjewyla11,11,"['F', 'E', 'D']"
gxvosfxjewyla11,12,"['G', 'E', 'C']"
